customer_id,first_name,last_name,birthday,city,country,suscription_date,email
CU00001,Abdi,Nageeye,2005-12-06,Calgary,CA,2026-02-12,Abdi_Nageeye_92@gmail.com
CU00002,Evans,Chebet,1994-07-26,Dublin,IR,2019-03-18,EvansCheb71994@gmail.com
CU00003,Albert,Korir,1996-01-26,Dublin,IR,2020-11-25,Albert U. Korir 2611996 35@gmail.com
CU00004,Tamirat,Tola,1965-05-09,Dublin,IR,2019-10-01,Tamirat A. Tola 951965 39@gmail.com
CU00005,Geoffrey,Kamworor,2006-12-09,Otawa,CA,2022-12-16,GeoffreyOKamworor9122006@gmail.com
CU00006,Conner,Mantz,1970-08-27,Glasgow,UK,2018-05-28,Conner U. Mantz 2781970 71@gmail.com
CU00007,Clayton,Young,1972-11-09,Dublin,IR,2024-10-23,ClaytonYoun111972@gmail.com
CU00008,Abel,Kipchumba,1992-05-30,Cork,IR,2019-07-27,AbelOKipchumba3051992@gmail.com
CU00009,Bashir,Abdi,1953-08-17,Montreal,CA,2022-04-16,Bashir_Abdi_69@gmail.com
CU00010,Cj,Albertson,2004-04-15,Cork,IR,2023-12-20,Cj_Albertson_87@gmail.com
CU00011,Ryan,Ford,1963-10-25,Dublin,IR,2022-03-03,RyanFord101963@gmail.com
CU00012,Colin,Bennie,1996-04-29,Birmingham,UK,2019-06-21,Colin U. Bennie 2941996 33@gmail.com
CU00013,Frank,Lara,1994-03-17,Glasgow,UK,2024-08-26,FrankLara31994@gmail.com
CU00014,Jonny,Mellor,1965-11-03,Vancouver,CA,2026-01-13,JonnyIMellor3111965@gmail.com
CU00015,Rory,Linkletter,1978-10-23,Montreal,CA,2025-02-15,RoryLink101978@gmail.com
CU00016,Wesley,Kiptoo,1953-12-21,Glasgow,UK,2025-04-16,WesleyKipt121953@gmail.com
CU00017,Futsum,Zienasellassie,1957-09-26,Montreal,CA,2023-03-04,Futsum I. Zienasellassie 2691957 89@gmail.com
CU00018,Joel,Reichow,1998-04-06,Vancouver,CA,2022-01-16,JoelReic41998@gmail.com
CU00019,Elkanah,Kibet,2003-04-02,Calgary,CA,2023-02-14,Elkanah I. Kibet 242003 42@gmail.com
CU00020,Ryan,Eiler,1975-10-16,Toronto,CA,2025-03-29,RyanEile101975@gmail.com
CU00021,Teshome,Mekonen,1948-09-06,Calgary,CA,2025-05-22,TeshomeIMekonen691948@gmail.com
CU00022,Addisu,Gobena,1947-08-12,Montreal,CA,2023-02-28,AddisuGobe81947@gmail.com
CU00023,Callum,Hawkins,2005-11-30,Birmingham,UK,2022-07-24,Callum U. Hawkins 30112005 53@gmail.com
CU00024,Josh,Izewski,2003-06-16,Vancouver,CA,2025-12-21,JoshIzewski_odyssey_62003@gmail.com
CU00025,Owen,Ritz,2005-09-25,Calgary,CA,2025-09-16,Owen_Ritz_94@gmail.com
CU00026,Jake,Perrin,1993-05-14,Birmingham,UK,2015-02-15,Jake_Perrin_48@gmail.com
CU00027,Desta,Gedo,1977-12-26,Toronto,CA,2024-05-08,Desta_Gedo_55@gmail.com
CU00028,Dylan,Marx,1961-10-24,Calgary,CA,2022-03-17,DylanIMarx24101961@gmail.com
CU00029,Gavin,Glaza,1988-07-16,Leeds,UK,2026-02-26,GavinOGlaza1671988@gmail.com
CU00030,Ser-Od,Bat-Ochir,1982-11-17,Montreal,CA,2021-06-18,Ser-OdOBat-Ochir17111982@gmail.com
CU00031,Stepan,Kiselev,2006-11-12,Manchester,UK,2016-01-18,Stepan_Kiselev_81@gmail.com
CU00032,Jared,Ward,1962-12-14,Montreal,CA,2021-10-16,Jared O. Ward 14121962 92@gmail.com
CU00033,Scottie,Nelson,1979-06-22,Leeds,UK,2015-04-04,ScottieNels61979@gmail.com
CU00034,Terry,Tossman,1979-04-07,Manchester,UK,2019-08-16,Terry U. Tossman 741979 28@gmail.com
CU00035,Connor,Mora,1956-08-30,Toronto,CA,2022-02-18,Connor O. Mora 3081956 91@gmail.com
CU00036,Esteban,Trujillo,2001-03-27,Leeds,UK,2023-03-13,EstebanTruj32001@gmail.com
CU00037,Hugo,Fry,1986-10-15,Leeds,UK,2018-04-15,HugoFry_odyssey_11986@gmail.com
CU00038,John,Borjesson,1953-11-19,Toronto,CA,2021-05-23,John_Borjesson_42@gmail.com
CU00039,Oscar,Acosta,1971-12-22,Calgary,CA,2023-08-30,Oscar U. Acosta 22121971 33@gmail.com
CU00040,David,Gaertlein,1965-12-11,Cork,IR,2023-07-02,DavidGaer121965@gmail.com
CU00041,Andrew,Gelston,1947-07-04,Vancouver,CA,2025-09-28,AndrewGels71947@gmail.com
CU00042,Kanato,Goto,1957-04-02,Toronto,CA,2022-01-29,KanatoGoto_odyssey_481957@gmail.com
CU00043,Ethan,Koreff,1971-02-04,Montreal,CA,2023-09-15,Ethan_Koreff_33@gmail.com
CU00044,Derek,Alcorn,1988-04-14,Dublin,IR,2024-10-30,DerekOAlcorn1441988@gmail.com
CU00045,Nicolas,Dalmasso,1962-09-19,Vancouver,CA,2025-03-10,NicolasDal'sfakemail1977@gmail.com
CU00046,Spencer,Johnson,1965-06-04,Toronto,CA,2021-04-29,SpencerJohnson_odyssey_651965@gmail.com
CU00047,Tom,Derr,1953-05-12,Dublin,IR,2022-02-18,TomDerr51953@gmail.com
CU00048,William,Hague,1960-11-17,Birmingham,UK,2018-03-15,William_Hague_97@gmail.com
CU00049,Nico,Montanez,1950-03-16,Otawa,CA,2021-09-05,NicoMont31950@gmail.com
CU00050,Alexis,Garod,2002-07-16,Montreal,CA,2021-07-09,Alexis E. Garod 1672002 93@gmail.com
CU00051,Jeff,Thies,1994-01-02,Toronto,CA,2025-09-06,Jeff U. Thies 211994 2@gmail.com
CU00052,Riley,Howard,1992-09-07,Dublin,IR,2024-10-20,Riley O. Howard 791992 35@gmail.com
CU00053,Mauricio,Mendez,1968-04-08,Dublin,IR,2023-12-23,MauricioMend41968@gmail.com
CU00054,Alex,Price,2000-12-17,Otawa,CA,2022-02-15,AlexPri'sfakemail2015@gmail.com
CU00055,Sheila,Chepkirui,1953-04-19,Glasgow,UK,2017-12-27,SheilaChepkirui_odyssey_641953@gmail.com
CU00056,Timothy,Purcell,1966-07-17,Montreal,CA,2024-09-02,TimothyPurc71966@gmail.com
CU00057,Hellen,Obiri,1986-05-23,Calgary,CA,2025-10-11,HellenObir51986@gmail.com
CU00058,Sean,Donohue,2007-07-12,Birmingham,UK,2016-07-21,Sean A. Donohue 1272007 50@gmail.com
CU00059,Brian,Wyatt,1999-03-25,Vancouver,CA,2022-06-30,BrianWyat31999@gmail.com
CU00060,Vivian,Cheruiyot,1957-04-26,London,UK,2024-04-28,VivianCher41957@gmail.com
CU00061,William,Graham,1953-04-17,London,UK,2021-01-02,William A. Graham 1741953 76@gmail.com
