worker_id,first_name,last_name,birthday,hours_day,country,hired_date,salary_day,email
WO00001,Andrew,Lee,1966-03-17,7,UK,2018-10-20,12,AndrewLee31966@gmail.com
WO00002,Nicolas,Rondeau,1982-04-23,7,UK,2015-11-27,12,Nicolas_Rondeau_4@gmail.com
WO00003,Lee,Bressler,1981-02-20,7,UK,2021-04-19,12,LeeEBressler2021981@gmail.com
WO00004,Mark,Jordan,1975-11-07,7,IR,2021-04-10,15,Mark O. Jordan 7111975 3@gmail.com
WO00005,John,Carlbäck,1985-04-27,7,UK,2015-02-17,12,John E. Carlbäck 2741985 88@gmail.com
WO00006,Kyle,Wang,2008-02-20,7,IR,2024-08-08,15,KyleWang_odyssey_362008@gmail.com
WO00007,Iñigo,Diez,1980-11-10,7,IR,2021-07-24,15,Iñigo E. Diez 10111980 11@gmail.com
WO00008,Stinson,Fuller,2007-07-24,7,UK,2017-12-04,12,Stinson_Fuller_87@gmail.com
WO00009,Raquel,Moraes,1999-03-25,7,IR,2022-07-07,15,RaquelUMoraes2531999@gmail.com
WO00010,Kara,Rafferty,1965-12-07,7,IR,2024-08-22,15,KaraRaff121965@gmail.com
WO00011,Jorge,Uribe,1982-12-29,7,IR,2020-06-18,15,JorgeIUribe29121982@gmail.com
WO00012,Hendrix,Paul,1989-01-25,7,CA,2022-02-04,19,HendrixIPaul2511989@gmail.com
WO00013,Vantheth,Hong,1980-09-01,7,CA,2023-01-04,19,Vantheth_Hong_58@gmail.com
WO00014,Will,Shegog,1974-10-27,7,UK,2020-09-11,12,Will O. Shegog 27101974 81@gmail.com
WO00015,Takeshi,Yamazaki,1986-01-04,7,CA,2024-09-25,19,Takeshi_Yamazaki_8@gmail.com
WO00016,Justin,Serrette,1977-05-24,7,CA,2022-12-26,19,JustinSerrette_odyssey_621977@gmail.com
WO00017,Christine,Hassel,1996-05-17,7,CA,2022-06-06,19,Christine O. Hassel 1751996 74@gmail.com
WO00018,Silas,Tsui,1979-03-20,7,CA,2025-09-16,19,SilasATsui2031979@gmail.com
WO00019,Emily,Zhong,1970-07-22,7,CA,2025-08-10,19,EmilyZho'sfakemail1985@gmail.com
WO00020,Jakob,Tercon,1991-10-11,7,CA,2023-01-20,19,Jakob O. Tercon 11101991 20@gmail.com
WO00021,Eden,Haber,1995-09-05,7,CA,2022-06-01,19,Eden_Haber_57@gmail.com
WO00022,Julien,Rouel,1964-09-17,7,UK,2022-09-14,12,Julien_Rouel_90@gmail.com
WO00023,Isaac,Wolfe,2005-12-15,7,IR,2024-02-16,15,IsaacEWolfe15122005@gmail.com
WO00024,Mitchell,Moranis,1996-11-01,7,UK,2016-10-07,12,Mitchell_Moranis_94@gmail.com
WO00025,Anne,Preisig,2002-10-30,7,CA,2025-11-13,19,Anne_Preisig_62@gmail.com
WO00026,Brad,Martinez,1977-06-01,7,IR,2023-04-11,15,BradMart61977@gmail.com
WO00027,Michael,Pawlowicz,1994-07-16,7,IR,2024-06-12,15,MichaelIPawlowicz1671994@gmail.com
WO00028,Bill,MacQueen,1987-08-05,7,IR,2021-07-07,15,BillMacQ81987@gmail.com
WO00029,Olivier,Tafani,1994-09-05,7,UK,2016-11-22,12,OlivierUTafani591994@gmail.com
WO00030,John,Shelton,1988-08-05,7,UK,2018-06-15,12,John_Shelton_27@gmail.com
WO00031,Feiran,Li,1970-12-01,7,UK,2020-02-25,12,Feiran_Li_98@gmail.com
WO00032,Marie,Beaver,1986-05-22,7,CA,2025-09-05,19,MarieEBeaver2251986@gmail.com
WO00033,Jose,Serna,1980-11-02,7,UK,2015-12-17,12,JoseSern111980@gmail.com
WO00034,Roberto,Munk,1982-08-31,7,IR,2025-08-06,15,Roberto I. Munk 3181982 48@gmail.com
WO00035,Felipe,Guevara,1994-05-11,7,UK,2026-01-19,12,FelipeGuev51994@gmail.com
WO00036,Rafael,Azevedo,1982-07-18,7,UK,2016-11-24,12,Rafael O. Azevedo 1871982 4@gmail.com
WO00037,Hengkie,Kurniawan,2008-01-18,7,CA,2023-09-10,19,Hengkie I. Kurniawan 1812008 20@gmail.com
WO00038,Stéphane,Revol,1981-07-15,7,CA,2025-01-24,19,StéphaneRevo71981@gmail.com
WO00039,Mengyang,You,1984-03-13,7,CA,2025-04-05,19,Mengyang O. You 1331984 57@gmail.com
WO00040,Madeline,Steiner,1984-08-15,7,UK,2025-09-30,12,MadelineStei81984@gmail.com
WO00041,Michael,Knuepfel,1987-01-29,7,IR,2019-06-09,15,Michael I. Knuepfel 2911987 42@gmail.com
WO00042,Britta,Werner,1974-11-25,7,CA,2025-07-14,19,BrittaUWerner25111974@gmail.com
WO00043,Yunchun,Xu,1995-09-15,7,CA,2023-12-10,19,Yunchun O. Xu 1591995 44@gmail.com
WO00044,Melissa,Abbey,1992-06-25,7,CA,2022-12-01,19,MelissaAbbe61992@gmail.com
